360,132,06-11-2011,2011-4
360,67,06-09-2010,2010-3
360,13,24-09-2010,2010-3
360,20,30-08-2010,2010-3
360,8,26-08-2010,2010-3
360,31,25-08-2010,2010-3
360,1,24-08-2010,2010-3
360,11,23-08-2010,2010-3
360,8,27-08-2010,2010-3
360,370,31-08-2010,2010-3
360,48,17-09-2010,2010-3
360,15,03-11-2010,2010-4
360,1,09-11-2010,2010-4
360,2,06-12-2010,2010-4
360,4,09-02-2011,2011-1
360,47,08-02-2011,2011-1
360,74,02-02-2011,2011-1
360,48,04-02-2011,2011-1
360,35,03-02-2011,2011-1
360,49,07-02-2011,2011-1
360,94,14-04-2011,2011-2
360,30,19-04-2011,2011-2
360,17,25-04-2011,2011-2
360,41,15-04-2011,2011-2
360,33,18-04-2011,2011-2
360,227,26-04-2011,2011-2
360,22,20-04-2011,2011-2
360,7,01-04-2011,2011-2
360,52,27-04-2011,2011-2
360,15,25-03-2011,2011-1
360,21,21-04-2011,2011-2
360,29,05-04-2011,2011-2
360,52,13-04-2011,2011-2
360,17,04-04-2011,2011-2
360,66,07-04-2011,2011-2
360,34,28-04-2011,2011-2
360,65,06-04-2011,2011-2
360,30,12-04-2011,2011-2
360,45,11-04-2011,2011-2
360,159,29-04-2011,2011-2
360,19,03-05-2011,2011-2
360,15,02-05-2011,2011-2
360,4,01-05-2011,2011-2
360,17,04-05-2011,2011-2
360,11,05-05-2011,2011-2
360,2,06-05-2011,2011-2
360,9,21-06-2011,2011-2
360,16,30-05-2011,2011-2
360,12,09-06-2011,2011-2
360,23,14-06-2011,2011-2
360,4,15-06-2011,2011-2
360,1,26-09-2011,2011-3
360,63,19-10-2011,2011-4
360,2,16-06-2011,2011-2
360,209,05-11-2011,2011-4
360,82,02-11-2011,2011-4
360,5,17-08-2011,2011-3
360,1,28-05-2012,2012-2
360,39,20-10-2011,2011-4
360,111,28-10-2011,2011-4
360,28,21-10-2011,2011-4
360,88,26-10-2011,2011-4
360,26,27-10-2011,2011-4
360,39,03-11-2011,2011-4
360,34,31-10-2011,2011-4
360,25,24-10-2011,2011-4
360,32,18-10-2011,2011-4
360,48,04-11-2011,2011-4
360,53,30-01-2012,2012-1
360,30,17-01-2012,2012-1
360,42,07-11-2011,2011-4
360,20,25-10-2011,2011-4
360,7,01-11-2011,2011-4
360,4,29-10-2011,2011-4
360,144,21-11-2011,2011-4
360,94,25-01-2012,2012-1
360,10,08-11-2011,2011-4
360,2,09-11-2011,2011-4
360,4,14-11-2011,2011-4
360,463,09-02-2012,2012-1
360,3,05-05-2012,2012-2
360,139,25-11-2011,2011-4
360,1,07-12-2011,2011-4
360,3,12-12-2011,2011-4
360,53,23-01-2012,2012-1
360,30,27-01-2012,2012-1
360,31,24-01-2012,2012-1
360,55,31-01-2012,2012-1
360,56,18-01-2012,2012-1
360,47,16-01-2012,2012-1
360,15,01-02-2012,2012-1
360,44,26-01-2012,2012-1
360,33,19-01-2012,2012-1
360,37,20-01-2012,2012-1
360,21,02-02-2012,2012-1
360,25,03-02-2012,2012-1
360,1,15-02-2012,2012-1
360,2,06-02-2012,2012-1
360,64,29-05-2012,2012-2
360,56,28-03-2012,2012-1
360,1,07-05-2012,2012-2
360,86,13-06-2012,2012-2
360,51,05-07-2012,2012-3
360,59,20-06-2012,2012-2
360,61,15-06-2012,2012-2
360,60,16-06-2012,2012-2
360,78,19-06-2012,2012-2
360,34,27-06-2012,2012-2
360,55,26-06-2012,2012-2
360,124,23-06-2012,2012-2
360,46,18-06-2012,2012-2
360,69,21-06-2012,2012-2
360,109,28-06-2012,2012-2
360,66,29-06-2012,2012-2
360,135,22-06-2012,2012-2
360,194,25-06-2012,2012-2
360,87,11-06-2012,2012-2
360,173,12-06-2012,2012-2
360,12,02-07-2012,2012-3
360,16,30-06-2012,2012-2
360,12,01-07-2012,2012-3
360,17,03-07-2012,2012-3
360,1,04-07-2012,2012-3
360,49,15-09-2012,2012-3
360,17,05-09-2012,2012-3
360,80,07-08-2012,2012-3
360,55,22-08-2012,2012-3
360,150,06-08-2012,2012-3
360,127,08-08-2012,2012-3
360,30,01-09-2012,2012-3
360,14,10-08-2012,2012-3
360,22,25-08-2012,2012-3
360,16,14-08-2012,2012-3
360,1,18-09-2012,2012-3
360,18,31-08-2012,2012-3
360,8,26-09-2012,2012-3
360,21,28-08-2012,2012-3
360,1,23-08-2012,2012-3
360,1,27-09-2012,2012-3
360,2,06-09-2012,2012-3
360,23,29-09-2012,2012-3
360,311,12-12-2012,2012-4
360,21,20-12-2012,2012-4
360,19,24-08-2012,2012-3
360,7,30-08-2012,2012-3
360,41,07-09-2012,2012-3
360,1,13-09-2012,2012-3
360,9,19-09-2012,2012-3
360,1,12-10-2012,2012-4
360,20,18-12-2012,2012-4
360,23,17-12-2012,2012-4
360,8,19-12-2012,2012-4
360,1,20-11-2012,2012-4
360,33,14-12-2012,2012-4
360,1,29-11-2012,2012-4
360,16,13-12-2012,2012-4
360,4,15-12-2012,2012-4
360,24,21-12-2012,2012-4
360,3,22-12-2012,2012-4
360,4,29-12-2012,2012-4
360,14,24-12-2012,2012-4
360,2,26-12-2012,2012-4
360,16,27-12-2012,2012-4
